,price,livingAreaSqFt,median_zip,zip_rank,avgSchoolRating,pr_sf
251,629040.0,2162.0,585276.0,30,7.0,290.95
252,988354.0,3436.0,646176.0,32,5.666666666666668,287.65
253,862712.0,2927.0,653543.0,33,7.0,294.74
254,309161.0,1582.0,325080.0,8,3.6666666666666665,195.42
255,488223.0,3254.0,653543.0,33,7.666666666666668,150.04
256,250094.0,1776.0,230108.0,2,3.0,140.82
257,597480.0,1707.0,820176.0,38,7.0,350.02
258,528755.0,2667.0,585276.0,30,7.0,198.26
259,333336.0,2486.0,325080.0,8,2.6666666666666665,134.09
260,510861.0,3282.0,653543.0,33,7.666666666666668,155.66
261,456175.0,2275.0,287568.0,4,3.6666666666666665,200.52
262,269240.0,1320.0,280777.0,3,3.6666666666666665,203.97
263,863162.0,2667.0,653543.0,33,7.0,323.65
264,328952.0,1745.0,325080.0,8,3.6666666666666665,188.51
265,567588.0,2829.0,548501.0,27,8.0,200.63
266,457785.0,2519.0,287568.0,4,3.6666666666666665,181.73
267,921347.0,4219.0,585276.0,30,8.333333333333334,218.38
268,940036.0,3693.0,1022880.0,40,9.0,254.55
269,130220.0,1650.0,280777.0,3,2.6666666666666665,78.92
270,190263.0,939.0,280777.0,3,3.6666666666666665,202.62
271,567691.0,3021.0,451466.0,20,7.666666666666668,187.91
272,658144.0,2474.0,820176.0,38,7.0,266.02
273,583070.0,3422.0,548501.0,27,7.0,170.39
274,575963.0,2567.0,653543.0,33,9.0,224.37
275,889176.0,4060.0,585276.0,30,8.333333333333334,219.01
276,163400.0,1419.0,230108.0,2,3.0,115.15
277,370128.0,2234.0,451466.0,20,8.333333333333334,165.68
278,294167.0,1491.0,230108.0,2,3.0,197.3
279,279742.0,1349.0,325080.0,8,3.6666666666666665,207.37
280,639943.0,2710.0,548501.0,27,8.0,236.14
281,716221.0,1656.0,548501.0,27,7.0,432.5
282,604176.0,2717.0,585276.0,30,8.333333333333334,222.37
283,1121137.0,4615.0,646176.0,32,5.666666666666668,242.93
284,224177.0,1749.0,280777.0,3,2.6666666666666665,128.17
285,416450.0,1970.0,451466.0,20,8.333333333333334,211.4
286,416031.0,1644.0,820176.0,38,7.0,253.06
287,548685.0,2871.0,548501.0,27,7.0,191.11
288,547441.0,3114.0,653543.0,33,9.0,175.8
289,728925.0,3393.0,585276.0,30,8.333333333333334,214.83
290,237535.0,1550.0,280777.0,3,2.6666666666666665,153.25
291,477879.0,1848.0,789000.0,37,8.0,258.59
292,397392.0,2953.0,287568.0,4,3.6666666666666665,134.57
293,1037725.0,4269.0,1022880.0,40,9.0,243.08
294,345895.0,2256.0,451466.0,20,8.333333333333334,153.32
295,307180.0,2415.0,548501.0,27,7.0,127.2
296,534040.0,2455.0,548501.0,27,8.0,217.53
297,898150.0,4589.0,585276.0,30,8.666666666666666,195.72
298,431055.0,2766.0,287568.0,4,3.6666666666666665,155.84
299,867380.0,3009.0,874740.0,39,7.0,288.26
300,448702.0,1456.0,820176.0,38,7.0,308.17
301,528523.0,2094.0,789000.0,37,8.0,252.4
302,282048.0,2051.0,548501.0,27,7.0,137.52
303,254938.0,1200.0,280777.0,3,3.6666666666666665,212.45
304,682571.0,3962.0,653543.0,33,8.666666666666666,172.28
305,508565.0,3323.0,585276.0,30,8.333333333333334,153.04
306,189072.0,1278.0,230108.0,2,3.0,147.94
307,186251.0,1662.0,230108.0,2,3.0,112.06
308,1189257.0,3983.0,646176.0,32,5.666666666666668,298.58
309,357900.0,2413.0,325080.0,8,2.6666666666666665,148.32
310,403378.0,1799.0,653543.0,33,7.0,224.22
311,458136.0,2761.0,548501.0,27,7.0,165.93
312,648983.0,2972.0,585276.0,30,8.333333333333334,218.37
313,559215.0,2580.0,548501.0,27,8.0,216.75
314,289832.0,1496.0,230108.0,2,3.0,193.74
315,333651.0,2112.0,325080.0,8,3.6666666666666665,157.98
316,460530.0,1499.0,789000.0,37,8.0,307.22
317,751729.0,2519.0,820176.0,38,7.0,298.42
318,366887.0,2360.0,287568.0,4,3.6666666666666665,155.46
319,501995.0,4263.0,548501.0,27,7.0,117.76
320,1346310.0,3895.0,874740.0,39,7.0,345.65
321,240877.0,1221.0,280777.0,3,3.6666666666666665,197.28
322,240108.0,1420.0,230108.0,2,3.0,169.09
323,718013.0,2904.0,653543.0,33,8.666666666666666,247.25
